_id,COUNTY,Year,Harvested Area (HA),Production (MT),Yield (MT/HA)
1,Baringo,2012,"39,753","71,867",1.81
2,Bomet,2012,"32,697","73,278",2.24
3,Bungoma,2012,"96,209","262,381",2.73
4,Busia,2012,"41,990","50,102",1.19
5,Elgeyo/Marakwet,2012,"31,533","91,964",2.92
6,Embu,2012,"45,215","46,750",1.03
7,Garissa,2012,433,411,0.95
8,Homabay,2012,"67,420","97,513",1.45
9,Isiolo,2012,987,979,0.99
10,Kajiado,2012,"30,145","2,218",0.07
11,Kakamega,2012,"76,285","172,308",2.26
12,Kericho,2012,"41,971","98,549",2.35
13,Kiambu,2012,"44,821","27,831",0.62
14,Kilifi,2012,"70,672","18,625",0.26
15,Kirinyaga,2012,"31,935","46,562",1.46
16,Kisii,2012,"59,635","97,513",1.64
17,Kisumu,2012,"33,395","97,513",2.92
18,Kitui,2012,"77,210","55,238",0.72
19,Kwale,2012,"39,490","13,225",0.33
20,Laikipia,2012,"36,163","119,852",3.31
21,Lamu,2012,"20,127","19,410",0.96
22,Machakos,2012,"149,338","90,926",0.61
23,Makueni,2012,"102,825","71,782",0.7
24,Mandera,2012,215,-4,0
25,Marsabit,2012,274,214,0.78
26,Meru,2012,"96,244","142,499",1.48
27,Migori,2012,"78,580","97,513",1.24
28,Mombasa,2012,"1,003",451,0.45
29,Murang'a,2012,"56,654","50,462",0.89
30,Nairobi ,2012,"1,018",852,0.84
31,Nakuru,2012,"89,649","298,974",3.33
32,Nandi,2012,"73,552","217,360",2.96
33,Narok,2012,"109,940","184,295",1.68
34,Nyamira,2012,"54,820","97,513",1.78
35,Nyandarua,2012,"19,588","27,442",1.4
36,Nyeri,2012,"33,593","26,067",0.78
37,Samburu,2012,"1,227","1,024",0.83
38,Siaya,2012,"76,385","97,513",1.28
39,Taita/Taveta,2012,"13,986","5,113",0.37
40,Tana River,2012,"6,269","5,357",0.85
41,Tharaka-Nthi,2012,"26,779","38,192",1.43
42,Trans Nzoia,2012,"104,421","432,342",4.14
43,Turkana,2012,"2,252","3,529",1.57
44,Uasin Gishu,2012,"91,310","257,649",2.82
45,Vihiga,2012,"18,010","27,857",1.55
46,Wajir,2012,268,191,0.71
47,West Pokot,2012,"33,035","110,674",3.35
48,Baringo,2013,"29,117","55,805",1.92
49,Bomet,2013,"30,620","72,236",2.36
50,Bungoma,2013,"92,705","221,586",2.39
51,Busia,2013,"45,898","63,230",1.38
52,Elgeyo/Marakwet,2013,"32,015","101,336",3.17
53,Embu,2013,"26,820","35,105",1.31
54,Garissa,2013,205,199,0.97
55,Homabay,2013,"74,359","110,380",1.48
56,Isiolo,2013,"1,015","1,073",1.06
57,Kajiado,2013,"34,721","63,460",1.83
