Date,"Kenya, WHOLESALE, Eldoret, Maize, KES/Kg","Kenya, WHOLESALE, Nakuru, Maize, KES/Kg"
1/1/2023,,50
12/1/2022,,54
11/1/2022,53,53.273
10/1/2022,54.714,61.429
9/1/2022,62,62.909
8/1/2022,59.667,62.435
7/1/2022,62.667,64.571
6/1/2022,52.409,65.095
5/1/2022,40.286,49.955
4/1/2022,38.619,42.524
3/1/2022,33.431,35.309
2/1/2022,34.147,34.145
1/1/2022,32.701,
12/1/2021,,
11/1/2021,24.962,
10/1/2021,28.682,
9/1/2021,28.897,29.881
8/1/2021,29.013,29.82
7/1/2021,28.988,29.619
6/1/2021,27.12,27.757
5/1/2021,26.963,30.029
4/1/2021,27.41,28.93
3/1/2021,25.185,27.618
2/1/2021,25.013,27.326
1/1/2021,24.538,27.008
12/1/2020,25.141,26.881
11/1/2020,24.145,25.419
10/1/2020,24.025,28.567
9/1/2020,28.881,28.618
8/1/2020,31.254,32.239
7/1/2020,31.904,32.808
6/1/2020,34.887,37.044
5/1/2020,,37.332
4/1/2020,,37.553
3/1/2020,31.428,31.326
2/1/2020,34.334,31.019
1/1/2020,34.523,31.015
12/1/2019,26.884,29.739
11/1/2019,34.736,31.073
10/1/2019,31.303,30.502
9/1/2019,33.984,33.513
8/1/2019,36.505,41.745
7/1/2019,34.046,36.342
6/1/2019,39.27,35.625
5/1/2019,33.231,35.147
4/1/2019,25.506,29.101
3/1/2019,19.797,19.843
2/1/2019,19.051,18.246
1/1/2019,20.743,17.716
12/1/2018,18.968,17.652
11/1/2018,15.5,17.422
10/1/2018,15.131,15.102
9/1/2018,15.276,15.985
8/1/2018,16.84,16.989
7/1/2018,21.224,23.001
6/1/2018,22.315,23.011
5/1/2018,28.997,23.559
4/1/2018,29.101,24.287
3/1/2018,29.497,26.769
2/1/2018,29.075,26.96
1/1/2018,28.084,26.173
12/1/2017,27.745,24.75
11/1/2017,29.992,27.194
10/1/2017,31.186,29.268
9/1/2017,36.281,29.743
8/1/2017,37.714,31.395
7/1/2017,38.145,34.058
6/1/2017,48.392,44.804
5/1/2017,46.081,47.283
4/1/2017,46.415,47.582
3/1/2017,38.606,46.554
2/1/2017,38.551,35.807
1/1/2017,31.765,35.926
12/1/2016,29.541,29.808
11/1/2016,29.13,27.732
10/1/2016,27.987,27.689
9/1/2016,27.345,29.407
8/1/2016,27.24,29.982
7/1/2016,31.917,28.766
6/1/2016,29.215,27.083
5/1/2016,27.931,26.534
4/1/2016,27.344,25.669
3/1/2016,25.926,25.428
2/1/2016,27.971,25.275
1/1/2016,26.531,25.188
12/1/2015,23.527,24.357
11/1/2015,23.614,24.543
10/1/2015,24.774,24.621
9/1/2015,27.18,24.009
8/1/2015,35.976,27.777
7/1/2015,33.137,29.845
6/1/2015,33.168,28.564
5/1/2015,28.247,31.69
4/1/2015,25.371,28.288
3/1/2015,24.821,21.541
2/1/2015,24.865,21.082
1/1/2015,23.602,23.13
12/1/2014,22.21,24.12
11/1/2014,23.957,
10/1/2014,24.745,24.94
9/1/2014,26.723,26.078
8/1/2014,30.251,
7/1/2014,36.387,32.074
6/1/2014,36.396,34.717
5/1/2014,35.731,34.732
4/1/2014,33.75,31.715
3/1/2014,31.529,29.576
2/1/2014,29.715,28.86
1/1/2014,29.851,29.16
12/1/2013,29.208,28.846
11/1/2013,30.044,28.375
10/1/2013,31.521,32.021
9/1/2013,30.529,32.132
8/1/2013,28.252,28.342
7/1/2013,27.818,28.569
6/1/2013,29.265,
5/1/2013,31.686,29.603
4/1/2013,29.85,29.399
3/1/2013,29.544,28.57
2/1/2013,28.15,28.636
1/1/2013,27.085,29.57
12/1/2012,27.188,27.077
11/1/2012,28.605,28.537
10/1/2012,29.096,31.421
9/1/2012,30.851,32.856
8/1/2012,35.037,35.453
7/1/2012,35.221,37.636
6/1/2012,36.226,36.519
5/1/2012,37.611,36.039
4/1/2012,29.923,31.954
3/1/2012,30.858,29.684
2/1/2012,31.046,27.815
1/1/2012,32.49,31.994
12/1/2011,32.888,32.995
11/1/2011,34.491,31.362
10/1/2011,32.786,30.831
9/1/2011,33.185,33.325
8/1/2011,40,36.84
7/1/2011,48.524,40.869
6/1/2011,36.656,38.038
5/1/2011,34.208,30.356
4/1/2011,26.203,24.292
3/1/2011,21.797,20.608
2/1/2011,19.138,17.958
1/1/2011,12.994,14.038
12/1/2010,13.354,13.812
11/1/2010,12.79,13.359
10/1/2010,12.995,12.467
9/1/2010,12.073,13.076
8/1/2010,12.131,13.255
7/1/2010,12.596,15.489
6/1/2010,21.116,16.609
5/1/2010,21.481,18.998
4/1/2010,24.017,18.765
3/1/2010,21.448,20.301
2/1/2010,22.038,23.949
1/1/2010,24.178,24.739
12/1/2009,23.892,24.507
11/1/2009,,24.582
10/1/2009,,24.667
9/1/2009,30.606,25.285
8/1/2009,33.793,31.304
7/1/2009,30.085,27.867
6/1/2009,28.652,29.365
5/1/2009,28.774,30.47
4/1/2009,28.958,29.041
3/1/2009,29.534,27.355
2/1/2009,23.643,24.602
1/1/2009,17.528,21.937
12/1/2008,17.513,23.143
11/1/2008,21.427,24.092
10/1/2008,22.492,24.064
9/1/2008,24.689,22.308
8/1/2008,19.988,22.557
7/1/2008,18.228,21.815
6/1/2008,19.302,21.153
5/1/2008,19.277,19.733
4/1/2008,15.501,16.018
3/1/2008,,13.481
2/1/2008,,12.702
1/1/2008,,
12/1/2007,13.177,
11/1/2007,13.541,
10/1/2007,13.27,
9/1/2007,12.685,
8/1/2007,13.022,
7/1/2007,13.106,
6/1/2007,13.154,
5/1/2007,12.54,
4/1/2007,12.761,
3/1/2007,10.797,
2/1/2007,10.427,
1/1/2007,10.706,
12/1/2006,11.272,
11/1/2006,10.9,
10/1/2006,11.768,
9/1/2006,12.528,
8/1/2006,17.083,
7/1/2006,16.557,
6/1/2006,17.031,
5/1/2006,15.582,
4/1/2006,14.187,
3/1/2006,13.312,
2/1/2006,13.124,
1/1/2006,12.963,
