DATE,WHITE,YELLOW,WEAT,$/R,SUNS,SOYA,CORN,SORG
1/2/2007,1301,1550,1752,6.94,2410,2230,,
1/3/2007,1280,1475,1720,6.87,2375,2180,,
1/4/2007,1228,1478,1720,7.04,2375,2170,,
1/5/2007,1268,1525,1744,7.15,2420,2170,,
1/8/2007,1315,1585,1765,7.23,2448,2220,,
1/9/2007,1280,1540,1763,7.18,2448,2245,,
1/10/2007,1294,1546,1772,7.35,2450,2260,,
1/11/2007,1295,1550,1770,7.31,2459,2265,,
1/12/2007,1300,1570,1772,7.29,2490,2265,,
1/15/2007,1370,1630,1792,7.21,2521,2305,,
1/16/2007,1363,1665,1771,7.23,2500,2305,,
1/17/2007,1366,1670,1760,7.24,2458,2290,,
1/18/2007,1407,1630,1761,7.16,2458,2275,,
1/19/2007,1416,1600,1762,7.16,2470,2300,,
1/22/2007,1438,1605,1734,7.12,2418,2300,,
1/23/2007,1415,1570,1742,7.12,2491,2300,,
1/24/2007,1402,1590,1741,7.14,2450,2300,,
1/25/2007,1385,1565,1734,7.15,2450,2300,,
1/26/2007,1390,1575,1754,7.27,2450,2300,,
1/29/2007,1380,1554,1747,7.32,2450,2300,,
1/30/2007,1366,1559,1744,7.33,2450,2300,,
1/31/2007,1346,1555,1752,7.31,2450,2300,,
2/1/2007,1320,1520,1755,7.18,2458,2300,,
2/2/2007,1305,1470,1760,7.16,2466,2300,,
2/5/2007,1350,1472,1780,7.23,2502,2300,,
2/6/2007,1376,1497,1782,7.20,2524,2300,,
2/7/2007,1351,1469,1783,7.17,2512,2300,,
2/8/2007,1380,1490,1819,7.18,2522,2300,,
2/9/2007,1421,1515,1842,7.15,2540,2248,,
2/12/2007,1510,1565,1886,7.24,2556,2300,,
2/13/2007,1520,1595,1875,7.27,2585,2300,,
2/14/2007,1520,1600,1863,7.19,2622,2300,,
2/15/2007,1531,1620,1840,7.18,2638,2340,,
2/16/2007,1586,1645,1823,7.15,2673,2419,,
2/19/2007,1670,1700,1875,7.15,2725,2420,,
2/20/2007,1676,1729,1840,7.12,2720,2430,,
2/21/2007,1726,1755,1846,7.13,2700,2420,,
2/22/2007,1791,1800,1891,7.11,2700,2465,,
2/23/2007,1727,1759,1877,7.09,2665,2450,,
2/26/2007,1772,1804,1901,7.08,2645,2430,,
2/27/2007,1727,1785,1890,7.14,2643,2425,,
2/28/2007,1745,1798,1916,7.23,2680,2445,,
3/1/2007,1800,1820,1930,7.24,2713,2453,,
3/2/2007,1848,1816,1929,7.29,2710,2441,,
3/5/2007,1950,1876,1962,7.51,2755,2495,,
3/6/2007,2030,1970,2005,7.51,2800,2533,,
3/7/2007,1950,1975,1995,7.41,2749,2540,,
3/8/2007,1937,1949,2003,7.38,2732,2494,,
3/9/2007,1981,1989,2050,7.39,2732,2465,,
3/12/2007,2012,1990,2090,7.31,2740,2520,,
3/13/2007,1965,1970,2115,7.39,2750,2525,,
3/14/2007,1940,1981,2140,7.50,2755,2553,,
3/15/2007,1922,1985,2123,7.44,2735,2538,,
3/16/2007,1965,1994,2130,7.44,2745,2540,,
3/19/2007,1994,1965,2198,7.44,2754,2525,,
3/20/2007,1955,1920,2170,7.39,2770,2540,,
3/22/2007,1935,1855,2170,7.21,2760,2500,,
3/23/2007,1940,1840,2152,7.17,2750,2450,,
3/26/2007,1908,1830,2150,7.23,2740,2449,,
3/27/2007,1863,1795,2135,7.25,2720,2410,,
3/28/2007,1818,1785,2094,7.27,2680,2410,,
3/29/2007,1792,1791,2116,7.32,2725,2433,,
3/30/2007,1825,1800,2161,7.27,2740,2468,,
4/2/2007,1700,1700,2135,7.25,2715,2440,,
4/3/2007,1720,1720,2150,7.21,2729,2460,,
4/4/2007,1727,1689,2135,7.17,2710,2435,,
4/5/2007,1775,1726,2168,7.15,2700,2420,,
4/10/2007,1752,1711,2168,7.16,2680,2425,,
4/11/2007,1718,1709,2167,7.15,2643,2410,,
4/12/2007,1650,1652,2160,7.18,2655,2410,,
4/13/2007,1666,1662,2178,7.19,2660,2410,,
4/16/2007,1689,1666,2195,7.12,2670,2410,,
4/17/2007,1657,1661,2190,7.14,2680,2410,,
4/18/2007,1595,1610,2165,7.05,2660,2361,,
4/19/2007,1630,1550,2170,7.12,2680,2335,,
4/20/2007,1590,1634,2193,7.05,2675,2305,,
4/23/2007,1548,1592,2178,7.06,2673,2280,,
4/24/2007,1586,1615,2143,7.10,2695,2295,,
4/25/2007,1631,1655,2118,7.03,2690,2300,,
4/26/2007,1662,1670,2157,6.99,2680,2308,,
4/30/2007,1642,1665,2151,7.12,2715,2305,,
5/2/2007,1687,1698,2154,7.02,2775,2350,,
5/3/2007,1676,1695,2170,6.98,2813,2370,,
5/4/2007,1721,1735,2200,6.97,2809,2395,,
5/7/2007,1735,1744,2187,6.92,2805,2450,,
5/8/2007,1660,1672,2149,6.93,2800,2420,,
5/9/2007,1635,1665,2145,6.93,2793,2400,,
5/10/2007,1635,1663,2159,6.92,2814,2437,,
5/11/2007,1582,1620,2175,7.02,2833,2438,,
5/14/2007,1628,1650,2205,6.94,2845,2452,,
5/15/2007,1589,1637,2240,6.96,2850,2505,,
5/16/2007,1600,1648,2248,6.91,2855,2545,,
5/17/2007,1623,1678,2250,6.97,2845,2570,,
5/18/2007,1652,1706,2242,7.06,2861,2590,,
5/21/2007,1655,1700,2280,6.99,2870,2618,,
5/22/2007,1655,1710,2345,7.01,2885,2570,,
5/23/2007,1658,1680,2282,7.06,2910,2575,,
5/24/2007,1676,1695,2310,7.07,2940,2585,,
5/25/2007,1690,1700,2310,7.10,2990,2598,,
5/28/2007,1674,1698,2347,7.10,3040,2610,,
5/29/2007,1646,1665,2321,7.12,3048,2590,,
