"","symbol","date","open","high","low","close","volume","adjusted"
"1","ZC=F",2013-09-03,501.25,504.5,486,498,12789,498
"2","ZC=F",2013-09-04,497,497,487.5,494,8034,494
"3","ZC=F",2013-09-05,493.75,495,483.5,489.5,6334,489.5
"4","ZC=F",2013-09-06,489.25,492.5,484.25,491.5,3032,491.5
"5","ZC=F",2013-09-09,491,493.5,475.5,477.25,5827,477.25
"6","ZC=F",2013-09-10,475.5,476.5,472.25,474.75,5288,474.75
"7","ZC=F",2013-09-11,474.5,480.25,473,479.75,2891,479.75
"8","ZC=F",2013-09-12,479.75,485.75,466.25,479,2128,479
"9","ZC=F",2013-09-13,479.75,480.75,450,450,95246,450
"10","ZC=F",2013-09-16,457.5,462,454,456.5,96537,456.5
"11","ZC=F",2013-09-17,457,468.5,453.25,454,142922,454
"12","ZC=F",2013-09-18,454,457,452,456.25,98955,456.25
"13","ZC=F",2013-09-19,457,463.25,455.5,459.5,118125,459.5
"14","ZC=F",2013-09-20,459.5,460,450.5,451,117384,451
"15","ZC=F",2013-09-23,450,455,448.25,453.25,85790,453.25
"16","ZC=F",2013-09-24,452.5,457,448,448.75,102415,448.75
"17","ZC=F",2013-09-25,448.25,456.75,448.25,454.75,102257,454.75
"18","ZC=F",2013-09-26,454.5,457.75,451,456.75,81835,456.75
"19","ZC=F",2013-09-27,456.5,459,453,454,96327,454
"20","ZC=F",2013-09-30,452.5,462,440.75,441.5,231380,441.5
"21","ZC=F",2013-10-01,441.25,444.75,435.25,439,162610,439
"22","ZC=F",2013-10-02,438.75,441,435,439,110682,439
"23","ZC=F",2013-10-03,438.75,443.75,438,439.25,97170,439.25
"24","ZC=F",2013-10-04,439.5,443.75,438.75,443.25,80706,443.25
"25","ZC=F",2013-10-07,442.75,449.5,441.5,449.25,148378,449.25
"26","ZC=F",2013-10-08,448.5,449.75,439.75,441.75,127958,441.75
"27","ZC=F",2013-10-09,441.5,447,440.5,443.5,106370,443.5
"28","ZC=F",2013-10-10,443,446.5,436.5,438.25,110458,438.25
"29","ZC=F",2013-10-11,436.5,437,432.5,433.25,95879,433.25
"30","ZC=F",2013-10-14,432.75,437.5,432,437,87547,437
"31","ZC=F",2013-10-15,436.5,444,436,443.5,132993,443.5
"32","ZC=F",2013-10-16,443,446,439,442.75,120313,442.75
"33","ZC=F",2013-10-17,442,446.5,441.5,443,109641,443
"34","ZC=F",2013-10-18,442.5,447.75,440.75,441.5,113287,441.5
"35","ZC=F",2013-10-21,440.5,444.5,438,444,105735,444
"36","ZC=F",2013-10-22,443.25,444.5,437.5,438.25,94419,438.25
"37","ZC=F",2013-10-23,438,446.25,437.5,442.75,154657,442.75
"38","ZC=F",2013-10-24,442,444.5,438.5,440.25,145523,440.25
"39","ZC=F",2013-10-25,440,442,439.5,440,114537,440
"40","ZC=F",2013-10-28,439,440,430.25,430.75,197956,430.75
"41","ZC=F",2013-10-29,430.25,434,428.25,432,160427,432
"42","ZC=F",2013-10-30,431.5,435,429.5,430.25,145107,430.25
"43","ZC=F",2013-10-31,430,436.25,427,428.25,226896,428.25
