"dist","yield (kg/acre)","acres","planting fam lab child (pers-hrs/acre)","seed (kg/acre)","Total CAN fert (kg/acre)","Total NPK fert (kg/acre)","Total UREA fert (kg/acre)","dap (kg/acre)","Total P&D chem (kg/acre)","adopter","tenure: owned with title deed","landprep: oxen","landprep: tractor","aehh07","Rain anomaly","Cstar","dap (KES/acre)","Total CAN fert (KES/acre)","Total NPK fert (KES/acre)","Total UREA fert (KES/acre)","Total P&D chem (KES/acre)","Rstar","dap (KES/kg)","Total CAN fert (KES/kg)","Total NPK fert (KES/kg)","Total UREA fert (KES/kg)","Total P&D chem (KES/kg)","harvesting (KES/hour)","P"
"Bomet","6.4740758643928","-1.38629436111989","2.77258872223978","2.30258509299405","0","0","0","3.95124371858143","0","1","0","0","0","1.77495235091167","0.319391050132086","7.02108396428914","2080","0","0","0","0","9.18212606549501","40","0","0","0","0",NA,"15"
"Bomet","7.16211838864106","-0.693147180559945","0","2.07944154167984","0","0","0","2.99573227355399","0","1","1","0","0","0.963174317773006","0.319391050132086","6.32793678372919","800","0","0","0","0","9.87016858974327","40","0","0","0","0",NA,"15"
"Bomet","6.81872732461187","0","0","2.30258509299405","0","0","0","3.2188758248682","0","1","0","0","0","0.978326122793608","0.319391050132086","5.52146091786225","1000","0","0","0","0","9.52677752571408","40","0","0","0","0",NA,"15"
"Bomet","6.90144038192437","0","0","2.30258509299405","0","0","0","3.91202300542815","1.38629436111989","1","0","0","1","1.68268837417369","0.319391050132086","8.65521448931361","1600","0","0","0","440","9.60949058302658","32","0","0","0","110",NA,"15"
"Bomet","7.33360672199169","-0.287682072451781","2.77258872223978","2.36712361413162","0","0","0","3.67207233579756","0","1","1","0","0","2.02814824729229","0.319391050132086","8.02834647436902","1306.66666666667","0","0","0","0","10.0416569230939","72","0","0","0","0",NA,"15"
"Bomet","7.24330208752685","0","3.46573590279973","2.30258509299405","0","0","0","4.31748811353631","0.405465108108164","1","1","0","1","1.69009581545155","0.319391050132086","8.21066803116298","3000","0","0","0","1080","9.95135228862906","40","0","0","0","720",NA,"15"
"Bomet","6.54178728813181","-1.6094379124341","0","2.30258509299405","0","0","0","3.2188758248682","0","1","0","0","0","1.44141366034097","0.319391050132086","7.46737106691756","1000","0","0","0","0","9.24983748923402","40","0","0","0","0",NA,"15"
"Bomet","7.1505602711556","-1.38629436111989","4.56434819146784","2.07944154167984","0","0","0","3.68887945411394","0","1","0","0","0","2.03339760317843","0.319391050132086","7.33302301438648","1400","0","0","0","0","9.85861047225781","35","0","0","0","0",NA,"15"
"Bomet","6.23094065970975","-0.105360515657826","5.07517381523383","2.40794560865187","0","0","0","2.74441784527308","0","1","0","0","0","2.06939120582633","0.319391050132086","6.39692965521615","622.222222222222","0","0","0","0","8.93899086081196","80","0","0","0","0",NA,"15"
"Bomet","7.39928798552769","-0.693147180559945","2.484906649788","2.07944154167984","0","0","0","3.91202300542815","0","1","0","0","0","2.13298230860787","0.319391050132086","6.32793678372919","2000","0","0","0","0","10.1073381866299","40","0","0","0","0",NA,"15"
"Bomet","7.16211838864106","-0.693147180559945","3.68887945411394","2.07944154167984","0","0","0","3.17805383034795","0","1","0","0","0","2.14476100780048","0.279407193740733","7.3132203870903","960","0","0","0","0","9.87016858974327","40","0","0","0","0",NA,"15"
"Bomet","7.2927727518212","-1.38629436111989","0","2.07944154167984","0","0","0","4.60517018598809","0","1","0","0","0","2.01089499914473","0.279407193740733","6.94697599213542","4000","0","0","0","0","10.0008229529234","40","0","0","0","0",NA,"15"
"Bomet","7.47012156653734","0.405465108108164","0","2.36712361413162","0","0","0","4.19970507787993","0","1","1","0","1","0.853705856682534","0.319391050132086","8.80187075484772","2666.66666666667","0","0","0","0","10.1781717676396","80","0","0","0","0","15","15"
"Bomet","6.81872732461187","-1.38629436111989","0","2.07944154167984","0","0","0","3.58351893845611","0","1","0","0","0","1.45395300959371","0.279407193740733","6.90775527898214","1440","0","0","0","0","9.52677752571408","40","0","0","0","0",NA,"15"
"Bomet","6.37792520928845","0","0","2.30258509299405","0","0","0","3.91202300542815","0","1","1","0","0","1.24559447901676","0.319391050132086","7.0647590277918","1600","0","0","0","0","9.08597541039066","32","0","0","0","0",NA,"15"
"Bomet","7.84370745171555","-1.38629436111989","0","2.07944154167984","0","0","0","3.91202300542815","0","1","1","0","0","1.27536280041261","0.319391050132086","6.32793678372919","1600","0","0","0","0","10.5517576528178","32","0","0","0","0",NA,"15"
"Bomet","7.70493809793749","-2.07944154167984","0","2.484906649788","0","0","0","3.68887945411394","0","1","1","0","0","1.66770682055808","0.319391050132086","6.90775527898214","1400","0","0","0","0","10.4129882990397","35","0","0","0","0",NA,"15"
"Bomet","6.82276912257546","-0.916290731874155","0","2.30258509299405","0","0","0","3.2188758248682","0","1","0","0","0","1.62531126159039","0.319391050132086","6.4377516497364","1000","0","0","0","0","9.53081932367767","40","0","0","0","0",NA,"15"
"Bomet","6.9983452451765","-0.693147180559945","0","2.30258509299405","0","0","0","2.99573227355399","0","1","1","0","0","1.23547147138531","0.319391050132086","8.1605182474775","700","0","0","0","0","9.70639544627871","35","0","0","0","0",NA,"15"
"Bomet","6.34500458235123","-0.693147180559945","0","2.07944154167984","0","0","0","2.99573227355399","0","1","1","0","0","2.37715129347846","0.279407193740733","6.21460809842219","800","0","0","0","0","9.05305478345344","40","0","0","0","0",NA,"15"
"Bomet","6.0129936244078","0","0","2.30258509299405","0","0","0","3.91202300542815","0","1","0","0","1","2.08193842187842","0.279407193740733","7.65917136766606","1600","0","0","0","0","8.72104382551001","32","0","0","0","0",NA,"15"
